location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December,Total_Smokers,
Tajikistan,12800,14727,1.1505,9537642,64.281,23.3,3.466,2.155,2896.913,427.698,7.11,72.704,4.8,71.1,0.65,0,0,0,0,0,0,3915,1970,1509,1174,1186,1248,1177,621,0,
Tanzania,508,4967,9.7776,59734213,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,47.953,0.7,65.46,0.538,17,136,0,0,18,461,29,0,0,0,0,0,0,0,152,
Thailand,4279,14656,3.4251,69799978,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,90.67,2.1,77.15,0.755,81,1660,17,23,1609,1303,127,90,139,107,152,215,224,273,1742,
Timor,30,0,0.0000,1318442,87.176,18,3.556,1.897,6570.102,335.346,6.86,28.178,5.9,69.5,0.625,2,23,0,0,0,23,0,0,0,3,1,2,0,1,25,
Togo,3314,7756,2.3404,8278737,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,10.475,0.7,61.04,0.503,30,471,0,0,33,82,326,208,291,459,384,547,643,341,500,
Trinidad and Tobago,6915,11220,1.6226,1399491,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,89.443,3,73.51,0.784,0,0,0,0,85,29,1,13,39,1590,2772,1161,977,248,0,
Tunisia,114546,160188,1.3985,11818618,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,78.687,2.3,76.7,0.735,1260,75371,0,0,393,600,83,97,361,2268,14610,41400,36956,17778,76631,
Turkey,1928164,1776763,0.9215,84339067,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,0,2.81,77.69,0.791,271871,792475,0,0,13530,106673,43738,35964,30967,39260,48530,56704,263480,1289318,1064347,
Uganda,28732,13129,0.4569,45741000,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,21.222,0.5,63.37,0.516,977,4798,0,0,43,39,334,472,265,1818,5157,4366,7964,8274,5775,
Ukraine,945217,970819,1.0271,43733759,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,0,8.8,72.06,0.751,127604,448033,0,0,644,9761,13266,21582,26150,52728,90314,184884,353013,192875,575637,
United Arab Emirates,188541,89895,0.4768,9890400,112.442,34,1.144,0.526,67293.483,317.84,17.26,0,1.2,77.97,0.863,2262,70514,0,17,643,11817,22076,14110,11839,9725,23959,38439,36231,19685,72777,
United Kingdom,1918734,10424391,5.4330,67886004,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,0,2.54,81.32,0.922,383747,473927,0,59,38754,139956,78768,27677,19577,33290,117763,558947,618940,285003,857674,
United States,16973375,41818989,2.4638,331002647,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,0,2.77,78.86,0.924,3241915,4175450,7,17,192152,884047,718241,842906,1915966,1463760,1202896,1917201,4462302,3373880,7417365,
Uruguay,10889,10185,0.9353,3473727,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,0,2.8,77.91,0.804,1524,2167,0,0,334,305,180,113,328,331,451,1078,2733,5036,3691,
Uzbekistan,75537,66427,0.8794,33469199,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,0,4,71.72,0.71,982,18658,0,0,171,1867,1584,4880,15506,17884,14824,10215,6162,2444,19640,
Vanuatu,0,0,0.0000,307150,22.662,23.1,4.394,2.62,2921.909,546.3,12.02,25.209,0,70.47,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vatican,26,0,0.0000,809,0,0,0,0,0,0,0,0,0,75.12,0,0,0,0,0,5,5,1,0,0,0,0,15,0,0,0,
Venezuela,108715,91442,0.8411,28435943,36.253,29,6.614,3.915,16745.022,204.85,6.47,0,0.8,72.06,0.761,0,0,0,0,133,198,1177,4322,12742,28154,28394,16891,10381,6323,0,
Vietnam,1403,4383,3.1240,97338583,308.127,32.6,7.15,4.718,6171.884,245.465,6,85.847,2.6,75.4,0.694,14,644,0,14,196,58,58,27,203,486,50,86,167,58,658,
Yemen,2084,100139,48.0513,29825968,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,49.542,0.7,66.12,0.452,158,609,0,0,0,5,317,835,570,230,76,29,128,-106,767,
Zambia,18454,47350,2.5658,18383956,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,13.938,2,63.89,0.588,572,4558,0,0,33,71,951,537,4369,6134,2662,1673,1215,809,5130,
Zimbabwe,11748,31631,2.6925,14862927,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,36.791,1.7,61.49,0.535,188,3607,0,0,7,32,138,413,2578,3328,1341,529,1583,1799,3795,
Whole_World,74218638,197220026,2.5464,7753923513,333.079,28.7,8.075,5.140,17659.542,48077.937,7.69,24.689,2.6,72.143,0.684,10477254.86,20323911.38,9342,75982,789539,2399372,2909568,4268439,7137657,7908516,8497005,12117139,17225798,10880281,30801166.24,
