location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December,Total_Smokers,
Gambia,3785,14369,3.7963,2416664,207.566,17.5,2.339,1.417,1561.767,331.43,1.91,7.876,1.1,62.05,0.46,26,1181,0,0,3,7,14,24,449,2465,616,93,70,44,1207,
Georgia,198386,54940,0.2769,3989175,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,0,2.6,73.77,0.78,10514,110104,0,0,109,429,244,145,240,319,4705,32744,96648,62803,120619,
Germany,1423829,2499808,1.7557,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,0,8,81.33,0.936,401520,471287,4,74,71729,91201,20401,12008,14981,34403,48111,238877,538122,353918,872807,
Ghana,53383,48081,0.9007,31072945,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,41.047,0.9,64.07,0.592,160,4110,0,0,158,1913,5996,9671,17760,8797,2328,1429,3612,1719,4271,
Greece,127556,142096,1.1140,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,0,4.21,82.24,0.87,45027,66329,0,3,1310,1277,326,492,1068,5840,8158,20776,66020,22286,111356,
Grenada,84,0,0.0000,112519,317.132,29.4,7.304,5.021,13593.877,243.964,10.71,0,3.7,72.4,0.772,0,0,0,0,8,11,3,0,1,0,0,4,13,44,0,
Guatemala,130827,516509,3.9480,17915567,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,76.665,0.6,74.3,0.65,0,0,0,0,37,561,4488,13009,31693,24285,17672,16193,14123,8766,0,
Guinea,13473,11691,0.8677,13132792,51.755,19,3.135,1.733,1998.926,336.717,2.42,17.45,0.3,61.6,0.459,0,0,0,0,21,1473,2211,1685,1917,2101,1243,1420,1047,355,0,
Guinea-Bissau,2445,6743,2.7579,1967998,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,6.403,0,58.32,0.455,0,0,0,0,6,197,1051,398,327,224,119,89,28,6,0,
Guyana,6015,13961,2.3210,786559,3.952,26.3,5.305,2.837,7435.047,373.159,11.62,77.159,1.6,69.91,0.654,0,0,0,0,11,70,71,92,168,893,1588,1268,1244,610,0,
Haiti,9595,37552,3.9137,11402533,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,22.863,0.7,64,0.498,278,2216,0,0,13,66,2043,3851,1449,800,542,291,237,303,2495,
Honduras,115315,366737,3.1803,9904608,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,84.169,0.7,75.27,0.617,2306,0,0,0,139,630,4431,14356,22456,19000,15886,19988,11365,7064,2306,
Hong Kong,0,0,0.0000,7496988,7039.714,44.8,16.303,10.158,56054.92,0,8.33,0,0,84.86,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hungary,288565,322858,1.1188,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,0,7.02,76.88,0.838,77335,100421,0,0,490,2283,1101,279,350,1634,20322,48860,141801,71445,177756,
Iceland,5577,3243,0.5815,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,0,2.91,82.99,0.935,798,848,0,0,1134,662,9,18,61,222,621,2137,527,186,1645,
India,9956556,14966793,1.5032,1380004385,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,59.55,0.53,69.66,0.64,189175,2051051,0,2,1394,33466,155746,394872,1110507,1995178,2621418,1871498,1278727,493748,2240225,
Indonesia,636152,1838586,2.8902,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,64.204,1.04,71.72,0.694,17812,484112,0,0,1526,8590,16355,29912,51991,66420,112212,123080,128795,97271,501924,
International,660,4140,6.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,9,7,0,0,0,0,0,0,0,0,0,
Iran,1131075,5408716,4.7819,83992953,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0,1.5,76.68,0.798,9049,238657,0,591,44012,50035,56826,76196,76542,71008,82007,155553,349298,169007,247705,
Iraq,578915,1431901,2.4734,40222503,88.125,20,3.186,1.957,15663.986,218.612,8.83,94.576,1.4,70.6,0.685,0,0,0,12,681,1391,4354,42670,75500,110325,128047,109649,79919,26367,0,
Ireland,77196,428198,5.5469,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,0,2.96,82.3,0.938,17755,19839,0,0,3234,17377,4378,483,592,2746,7344,25301,11088,4653,37594,
Israel,365041,291401,0.7983,8655541,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,0,2.99,82.97,0.903,56216,129225,0,5,5711,10179,1183,8359,46296,45172,130505,66938,22842,27851,185441,
Italy,1888142,9521665,5.0429,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,0,3.18,83.51,0.88,373852,524903,0,1126,104664,99671,27534,7581,6959,21677,45647,364569,922124,286590,898756,
Jamaica,11906,19307,1.6216,2961161,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,66.425,1.7,74.47,0.732,631,3405,0,0,35,386,164,116,176,1581,4023,2612,1669,1144,4036,
Japan,187749,314381,1.6745,126476458,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,0,13.05,84.63,0.909,21028,63271,13,230,2010,12029,2467,1864,17619,32162,15195,17736,47635,38789,84299,
Jordan,267584,117708,0.4399,10203140,109.285,23.2,3.81,2.361,8337.49,208.257,11.75,0,1.4,74.53,0.735,0,0,0,0,273,179,286,393,61,841,9791,60782,146823,48155,0,
Kazakhstan,188833,298942,1.5831,18776707,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,98.999,6.7,73.6,0.8,13218,81387,0,0,339,3059,7456,11450,68059,40306,10034,8992,24864,14274,94605,
Kenya,92852,133755,1.4405,53771300,87.324,20,2.686,1.528,2993.028,218.637,2.92,24.651,1.4,66.7,0.59,1114,18942,0,0,58,337,1566,4404,14270,13565,4328,16663,28426,9235,20056,
Kosovo,47497,99425,2.0933,1932774,168.155,0,0,0,9795.834,0,0,0,0,0,0,0,0,0,0,104,693,271,1729,5531,5124,2166,3708,20268,7903,0,
Kuwait,146970,118346,0.8052,4270563,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,0,2,75.49,0.803,3968,54379,0,44,244,3735,23019,19152,20762,18152,20073,20744,16709,4336,58347,
Kyrgyzstan,78148,184375,2.3593,6524191,32.333,26.3,4.489,2.882,3393.474,436.362,7.11,89.22,4.5,71.45,0.672,2813,39465,0,0,104,639,1002,3758,30299,8093,2771,12209,14300,4973,42278,
Laos,39,0,0.0000,7275556,29.715,24.4,4.029,2.322,6397.36,368.111,4,49.839,1.5,67.92,0.601,3,20,0,0,7,10,0,0,1,2,1,1,15,2,23,
Latvia,27494,14734,0.5359,1886202,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,0,5.57,75.29,0.847,7038,14022,0,0,397,460,208,52,113,165,428,4070,11181,10420,21060,
Lebanon,150932,73426,0.4865,6825442,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,0,2.9,78.93,0.757,40601,61429,0,3,466,255,495,558,2777,12753,22326,41594,46716,22989,102030,
Lesotho,2364,5270,2.2293,2142252,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,2.117,0,54.33,0.52,9,1274,0,0,0,0,1,25,577,481,510,358,156,256,1284,
Liberia,1772,14929,8.4249,5057677,49.127,19.2,3.057,1.756,752.788,272.509,2.42,1.188,0.8,64.1,0.435,27,321,0,0,2,138,147,492,406,118,39,83,169,178,347,
Libya,92576,90923,0.9821,6871287,3.623,29,4.424,2.816,17881.509,341.862,10.43,0,3.7,72.91,0.706,0,0,0,0,9,51,95,668,2797,10345,20559,26570,21714,9768,0,
Liechtenstein,1599,736,0.4603,38137,237.012,0,0,0,0,0,7.77,0,2.397,82.49,0.916,0,0,0,0,67,14,0,0,6,19,11,415,737,330,0,
Lithuania,99868,36445,0.3649,2722291,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,0,6.56,75.93,0.858,21272,37950,0,0,536,848,290,142,258,831,1787,10131,46501,38544,59222,
Luxembourg,42844,36650,0.8554,625976,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,0,4.51,82.25,0.904,8954,11139,0,0,2177,1606,234,281,2396,-70,1884,8625,17544,8167,20094,
Madagascar,17584,32442,1.8450,27691019,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,50.54,0.2,67.04,0.519,0,0,0,0,54,71,643,1443,8654,3995,1545,703,230,246,0,
Malawi,6088,26337,4.3261,19129955,197.519,18.1,2.979,1.783,1095.042,227.349,3.94,8.704,1.3,64.26,0.477,268,1504,0,0,0,34,247,940,2854,1488,207,157,98,63,1772,
Malaysia,87910,42576,0.4843,32365998,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,0,1.9,76.16,0.802,879,37274,5,17,2741,3236,1817,820,337,364,1884,20324,34149,22216,38153,
Maldives,13398,5578,0.4163,540542,1454.433,30.6,4.12,2.875,15183.616,164.905,9.19,95.803,0,78.92,0.717,281,7369,0,0,14,450,1305,588,1432,4011,2487,1368,1352,391,7650,
Mali,5967,27680,4.6388,20250834,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,52.232,0.1,59.31,0.427,95,1372,0,0,26,462,775,916,354,241,342,436,1156,1259,1468,
Malta,11412,8577,0.7516,441539,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,0,4.485,82.53,0.878,2385,3446,0,0,166,296,153,52,154,1059,1175,2984,3831,1542,5832,
Marshall Islands,2,0,0.0000,59194,295.15,0,0,0,3819.202,557.793,30.53,82.502,2.7,73.7,0.708,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mauritania,11628,30369,2.6117,4649660,4.289,20.3,3.138,1.792,3597.633,232.347,2.42,15.95,0,64.92,0.52,0,0,0,0,5,2,522,3833,1947,738,454,201,898,3028,0,
Mauritius,521,2581,4.9539,1271767,622.962,37.4,10.945,5.884,20292.745,224.644,22.02,0,3.4,74.99,0.79,17,212,0,0,140,189,3,6,3,12,25,60,63,20,229,
Mexico,1277498,13203993,10.3358,128932753,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,87.847,1.38,75.05,0.774,88147,273385,0,3,1211,18009,71440,135425,198548,174923,143656,181746,188581,163956,361532,
Moldova,130328,252645,1.9385,4033963,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,86.979,5.8,71.9,0.7,7689,58126,0,0,352,3544,4354,8362,8120,12187,16122,22998,31324,22965,65816,
Monaco,684,788,1.1520,39244,19347.5,0,0,0,0,0,5.46,0,13.8,86.75,0,0,0,0,0,51,43,4,4,17,34,64,141,250,76,0,
Mongolia,922,0,0.0000,3278292,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,71.18,7,69.87,0.741,51,429,0,0,11,26,141,41,71,13,9,33,455,122,479,
Montenegro,42561,35583,0.8360,628062,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,0,3.861,76.88,0.814,18727,20387,0,0,107,213,2,224,2525,1762,5937,7569,16924,7298,39114,
Morocco,406969,432505,1.0627,36910558,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,0,1.1,76.68,0.667,3256,191682,0,0,616,3806,3384,4726,11789,38268,61063,95431,137252,50634,194938,
Mozambique,17142,10079,0.5880,31255435,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,12.227,0.7,60.85,0.437,874,4988,0,0,7,68,178,635,975,2052,4812,4141,2832,1442,5863,
Myanmar,111892,110489,0.9875,54409794,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,79.287,0.9,67.13,0.578,7049,39386,0,0,7,136,73,75,54,529,12491,39333,38007,21187,46435,
Namibia,17274,15055,0.8715,2540916,3.078,22,3.552,2.085,9541.808,243.811,3.94,44.6,0,63.71,0.647,1676,5908,0,0,9,5,8,181,1924,5421,3715,1670,1445,2896,7583,
Nepal,250915,101827,0.4058,29136808,204.43,25,5.809,3.212,2442.804,260.797,7.26,47.782,0.3,70.78,0.574,23837,94846,0,0,4,52,1515,11992,6207,19689,38357,92926,62709,17464,118683,
Netherlands,650071,1656072,2.5475,17134873,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,0,3.32,82.28,0.931,158617,177469,0,5,12661,26845,7133,3838,4107,18642,52756,231652,174290,118142,336087,
New Zealand,2099,5606,2.6708,4822233,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,0,2.61,82.29,0.917,311,361,0,0,646,832,25,24,34,190,96,111,100,41,672,
Nicaragua,5937,25796,4.3450,6624554,51.667,27.3,5.445,3.519,5321.444,137.016,11.47,0,0.9,74.48,0.658,0,0,0,0,4,9,745,1760,1153,822,676,344,270,154,0,
Niger,2360,15921,6.7462,24206636,16.955,15.1,2.553,1.378,926,238.339,2.42,8.978,0.3,62.42,0.354,2,363,0,0,26,692,239,117,59,42,21,23,328,813,366,
Nigeria,75061,194047,2.5852,206139587,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,41.949,0,54.69,0.532,450,8107,0,0,134,1797,8230,15532,17457,10857,4840,4005,4704,7505,8557,
North Macedonia,75596,158532,2.0971,2083380,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,0,4.28,75.8,0.757,0,0,0,0,328,1136,761,4108,4420,3587,3636,13595,30306,13719,0,
Norway,42311,66246,1.5657,5421242,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,0,3.6,82.4,0.953,8293,8758,0,14,4626,3097,702,439,361,1542,3245,6304,15819,6162,17051,
Oman,126833,152053,1.1988,5106622,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,97.4,1.6,77.86,0.821,634,19786,0,4,186,2156,9089,28633,39089,6563,12863,15849,9265,3136,20420,
Pakistan,448520,1234757,2.7530,220892331,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,59.607,0.6,67.27,0.562,12559,164607,0,2,2114,15996,54346,141010,64835,17544,16957,21164,66512,48040,177165,
Palestine,115602,56348,0.4874,5101416,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,0,0,74.05,0.686,0,0,0,0,115,225,104,1980,9409,10892,17170,13621,32127,29959,0,
Panama,199946,395165,1.9764,4314768,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,0,2.3,78.51,0.789,4799,19795,0,0,1180,5351,6931,20087,31706,27726,19613,21003,32208,34141,24593,
Papua New Guinea,728,833,1.1442,8947027,18.22,22.6,3.808,2.142,3823.194,561.494,17.65,0,0,64.5,0.544,171,355,0,0,0,7,0,3,61,387,75,55,67,73,526,
Paraguay,96208,137658,1.4308,7132530,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,79.602,1.3,74.25,0.702,4810,20781,0,0,64,201,720,1235,3117,12324,23096,22427,19239,13785,25591,
Peru,986129,5087491,5.1591,32971846,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,0,1.6,76.74,0.75,47334,0,0,0,1064,35911,127500,120737,122279,239674,164602,88412,62350,23600,47334,
Philippines,452987,912587,2.0146,109581085,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,78.463,1,71.23,0.699,35333,184819,0,2,2081,6404,9598,19428,55840,127465,90875,69035,50901,21358,220152,
Poland,1159900,1025958,0.8845,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,0,6.62,78.73,0.865,270257,383927,0,0,2310,10566,10909,10607,11295,21684,24142,271217,628080,169090,654184,
Portugal,358294,519262,1.4493,10196707,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,0,3.39,82.05,0.847,58402,107488,0,0,7441,17602,7455,9641,8931,6940,17530,65737,156782,60235,165890,
Qatar,141416,37659,0.2663,2881060,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0,1.2,80.23,0.856,1131,38041,0,0,780,12628,43501,39178,14607,8083,6982,6796,6277,2584,39172,
